  A  6.50 
 L6  1.16 
 L7  1.16 
 HE 10.93 
 LI  1.05 
 BE  1.38 
  B  2.70 
  C  8.55 
  N  7.97 
  O  8.77 
  F  4.56 
 NE  7.93 
 NA  6.19 
 MG  7.55 
 AL  6.40 
 SI  7.45 
  P  5.38 
  S  7.06 
 CL  5.50 
 AR  6.40 
  K  5.02 
 CA  6.26 
 SC  3.15 
 TI  4.90 
  V  3.96 
 CR  5.57 
 MN  5.37 
 FE  7.47 
 CO  4.96 
 NI  6.23 
 CU  4.11 
 ZN  4.46 
 GA  2.96 
 GE  3.51 
 AS  2.30 
 SE  3.34 
 BR  2.54 
 KR  3.25 
 RB  2.48 
 SR  2.73 
  Y  2.14 
 ZR  2.53 
 NB  1.47 
 MO  1.93 
 RU  1.80 
 RH  0.95 
 PD  1.49 
 AG  0.92 
 CD  1.73 
 IN  0.80 
 SN  2.04 
 SB  1.01 
 TE  2.18 
  I  1.55 
 XE  2.24 
 CS  1.08 
 BA  2.18 
 LA  1.11 
 CE  1.58 
 PR  0.72 
 ND  1.42 
 SM  0.95 
 EU  0.52 
 GD  1.08 
 TB  0.31 
 DY  1.10 
 HO  0.48 
 ER  0.93 
 TM  0.11 
 YB  0.85 
 LU  0.10 
 HF  0.85 
 TA -0.12 
  W  0.83 
 RE  0.26 
 OS  1.40 
 IR  1.38 
 PT  1.62 
 AU  0.88 
 HG  1.17 
 TL  0.90 
 PB  1.95 
 BI  0.65 
 TH  0.02 
  U -0.54 
1 
1
