elem,lambda
C2,5635.200
CN,6332.160
OI,6300.311
NaI,5682.633
NaI,5688.194
NaI,5688.205
NaI,6154.230
NaI,6160.753
AlI,6696.185
AlI,6696.788
AlI,6696.788
AlI,6698.673
MgI,6318.720
MgI,6319.242
MgI,6319.490
MgI,6765.450
SiI,5665.555
SiI,5666.690
SiI,5690.425
SiI,5948.545
SiI,6142.494
SiI,6145.020
SiI,6155.142
SiI,6237.328
SiI,6243.823
SiI,6414.987
SiI,6721.844
CaI,5601.277
CaI,5867.562
CaI,6102.723
CaI,6122.217
CaI,6156.030
CaI,6161.295
CaI,6162.167
CaI,6166.440
CaI,6169.044
CaI,6169.564
CaI,6439.080
CaI,6455.605
CaI,6464.679
CaI,6493.788
CaI,6499.654
CaI,6572.779
CaI,6717.687                          
TiI,5689.459
TiI,5866.449
TiI,5922.108
TiI,5941.750
TiI,5965.825
TiI,5978.539
TiI,6064.623
TiI,6091.169
TiI,6126.214                           
TiI,6258.110
TiI,6261.106
TiI,6266.010
TiI,6303.767
TiI,6312.240
TiI,6336.113
TiI,6508.150
TiI,6554.238
TiI,6556.077
TiI,6599.113
TiI,6743.127
TiII,6491.580
TiII,6559.576
TiII,6606.970
EuII,6437.640
EuII,6645.064
BaII,6141.713
BaII,6496.897
